-0.15474960,-0.23389145,0.41045836,0.14328197,-0.12630988,0.39186556,0.12052487,-0.05742262,-0.52238139,0.47221592,-0.25497699,-0.20556147,0.18076663,0.37466969,0.20722520,0.01550812,0.22366515,0.13984805,0.13416089,0.03353132,-0.04216745,0.00282479,-0.13328337,-0.06260253,-0.29927531,-0.01675581,-0.17475987,-0.19508887,0.03180109,0.24607357,0.15453037,-0.26515606,-0.16351939,0.12681576,-0.12965707,-0.03970991,0.09723639,-0.17121732,0.01862793,-0.23582462,-0.12088031,-0.00814764,-0.27862946,-0.02146878,0.04384739,0.09766735,0.03958280,0.24516913,0.02213677,-0.07590889,-0.02061392,0.09604243,0.00863732,-0.01309161,-0.13813753,-0.13046871,-0.16560466,0.35420308,-0.21988662,-0.12838618,-0.12699766,0.16030410,-0.00994500,0.22057172
-0.00150712,0.04931967,-0.45498085,0.46639260,-0.21791124,0.04373168,0.34473343,0.07315004,0.24528206,-0.24316539,0.06929468,-0.23462660,0.17039136,0.56819293,-0.00943872,0.11000992,-0.34117228,0.47835727,-0.14207094,0.35771835,0.47893607,-0.17401953,0.10058295,0.35986576,-0.06702095,-0.05209458,-0.10282763,-0.17938533,-0.11477714,-0.21636411,0.05044454,-0.16211582,-0.00669637,-0.14701135,-0.06929256,0.14734849,-0.35244600,0.06619688,0.21702327,-0.21383633,0.40729614,0.24986905,-0.13184336,0.42236384,-0.01523201,0.01343598,0.09523951,-0.23474470,0.02993905,-0.24991178,0.16480671,-0.15978981,-0.13002456,0.27656508,0.24196320,0.22239208,-0.48836704,-0.19736514,0.21444754,0.07618716,0.41000340,0.03144582,-0.16838682,-0.05464459
0.14078047,-0.02695312,-0.11355934,0.28654654,-0.14577532,-0.25337436,-0.06681473,0.08980103,0.09327499,-0.55017422,0.16288976,0.27828464,-0.00107320,0.40957025,0.20261267,0.41937971,-0.11352048,0.00964499,0.04726873,0.13329764,0.07593113,0.18607925,-0.03092881,-0.04255912,0.09484244,-0.17178948,0.00498177,-0.00161203,0.19196102,0.08391559,0.06822263,0.14828890,0.20596660,0.26600297,-0.10927152,-0.23190208,-0.18828727,-0.05399181,-0.10774755,-0.03305217,0.13817852,0.32829080,0.00651184,0.55773545,-0.09967902,-0.34921646,-0.16605261,-0.08697610,-0.21384584,0.10605342,0.48907740,0.21544868,-0.03773173,0.32655860,0.10329997,0.06111105,-0.34561073,-0.17279740,-0.06862230,0.13571682,0.02838574,0.00789348,-0.02130204,0.21047852
0.29338833,-0.26249536,-0.86834211,0.19677043,-0.32974493,-0.08550622,0.09061250,-0.31854816,0.31545813,-0.16958966,-0.02747846,-0.70972135,-0.09656329,0.15155703,-0.31974149,0.44830838,-0.47095372,0.07064329,0.02113902,-0.08225104,0.34587614,-0.19977168,-0.00482681,-0.06881501,-0.07836197,-0.21135080,-0.03057283,0.30259016,-0.24252015,-0.28524005,0.33459477,-0.08367604,-0.21738891,0.29053658,-0.25806540,0.32279597,0.11984150,-0.08637589,0.38136180,-0.10707628,0.31453578,0.12294642,0.17930557,0.79861862,-0.13849237,-0.13318672,0.08131236,-0.28745242,0.35591994,0.02413626,0.14741784,0.03264718,-0.23814053,-0.14942830,0.24110096,0.06640303,-0.64431775,-0.13217234,0.20960124,0.16303452,0.17607802,-0.24585477,-0.59440454,0.26540079
0.05277244,-0.04434143,0.04690812,0.21143622,0.09257719,0.38368791,0.08685757,0.16402051,0.27269706,-0.08264449,0.34364242,-0.05174104,0.09515821,0.43294049,0.13398907,0.21060884,-0.39737778,-0.28679343,0.36348951,-0.13351896,0.13910486,-0.02237571,0.05434234,0.21732544,0.15211166,-0.10254711,-0.02954322,0.04995355,-0.04396280,0.28414124,0.14061506,0.13369642,0.09381253,0.36362890,-0.05397370,-0.22924967,0.07065551,-0.11505788,-0.09344711,0.10365550,0.29938992,0.23785771,0.07234123,0.67698343,-0.05386559,0.45991695,0.09996892,-0.33238680,0.13317324,0.06737992,0.40761318,0.11900278,-0.02447579,-0.14986133,0.02725036,-0.06947290,-0.26343549,0.01945700,0.29520014,0.15764687,-0.21140425,0.10560394,0.15460841,-0.10779540
-0.02369111,0.00259653,-0.13875173,0.11460087,-0.02138081,0.07416356,-0.15688793,-0.07733243,0.12770019,-0.06590821,0.30528697,-0.07064636,0.03971902,0.16486033,-0.25073400,-0.31126997,-0.26970049,0.22319544,-0.09755566,0.45222999,-0.09974583,0.03262437,0.27260910,0.35463045,0.36442580,0.21361100,0.18103039,0.10474496,0.13759610,-0.09743679,-0.14463849,-0.00059653,-0.03008468,-0.08012016,0.12310508,0.16887570,0.01562828,0.26119289,-0.20182402,-0.03423448,-0.12671748,-0.32996017,-0.01461602,-0.02152212,0.26754265,0.11151281,-0.18105237,0.32776036,0.21585030,0.10290131,-0.04003711,-0.16960649,-0.06579748,0.19246537,0.33315094,0.27280949,-0.08641719,-0.19792227,0.02490541,-0.31261888,0.05712852,-0.02609270,-0.08238439,-0.28190634
0.09079253,-0.09416909,-0.20681404,-0.50774903,-0.00486399,0.31329278,0.29367191,-0.08080396,-0.10645706,0.08286836,-0.17649128,0.05334978,0.13542514,0.21689320,-0.01770491,-0.03600477,-0.15520687,-0.14617317,-0.04003619,0.06494166,0.16150048,-0.14198332,0.26387255,-0.04792833,-0.00377724,-0.13208961,-0.42854920,0.15627863,0.13025683,-0.04973215,0.01184240,0.09120603,-0.27622170,-0.09352418,0.14040748,-0.22172913,0.05189420,-0.23981205,0.08245395,-0.00630058,-0.28551767,0.20589878,-0.12985868,-0.14323375,0.03545596,0.20305231,-0.17957362,0.01090356,0.07580476,0.12252491,0.03119075,-0.06488197,-0.14629867,0.01522823,-0.18952919,-0.51642668,0.07717360,0.15979461,-0.41771139,-0.17849686,0.10945205,0.36371723,0.00367584,-0.12869396
0.13038934,0.24304610,-0.33616470,-0.00329513,-0.08721666,-0.18319795,0.29918801,0.28720529,0.41359023,-0.21284067,0.06397995,-0.45528722,0.15611322,0.30556991,0.22323591,1.06203657,-0.21315303,-0.04379631,-0.07537009,0.29615326,0.23325434,-0.20741722,0.16249825,-0.02475336,0.33115540,0.17984612,-0.07907609,0.22645384,0.01199527,0.15075051,0.16406855,-0.15050336,-0.14350341,0.41005637,-0.15816301,-0.07135564,-0.16884342,0.07478662,0.36460636,-0.18871494,0.14212809,0.56542288,0.00028931,0.61101515,-0.30258311,0.07571471,-0.03308274,0.11755160,0.20990218,0.45777450,0.34391241,0.05759319,0.03436262,0.00675814,0.15548642,0.07819629,-0.18592511,0.10311693,-0.17793590,0.35069665,0.23283525,0.00243319,-0.45687502,-0.10744876
0.30610042,-0.00404254,-0.29186144,-0.02894186,0.14426624,0.09000079,0.07503488,-0.06484601,0.08035837,-0.24130690,0.33570533,-0.14846962,0.21516527,0.40512849,0.28582325,0.13510694,-0.06380390,0.03562739,-0.15975343,0.09838384,-0.12036207,0.23466443,-0.08213351,0.06991591,0.05007870,-0.05239149,0.10371380,-0.08395190,0.15402506,-0.23793784,0.05543196,0.33769191,-0.19087414,-0.01837721,0.04495028,0.03174587,0.06198323,0.08639225,0.11220396,0.19616907,0.13171060,0.09667725,0.12063100,0.55815160,-0.08368160,-0.17227407,0.19570607,-0.04665848,-0.38407736,0.14980441,0.00496136,-0.01600417,0.05868638,0.05869617,0.16785688,-0.02801309,-0.01202888,-0.11362374,0.13060297,0.17471034,-0.16536376,0.20127067,-0.12389195,0.14284578
0.24134336,0.32494803,-0.43085812,0.10317378,-0.00920135,-0.08266806,0.54829312,-0.28572605,0.27306604,-0.48379564,0.30094013,0.03610022,-0.01846419,0.33375056,0.24092203,0.84798677,-0.60561038,0.10994976,0.17239221,0.20567076,0.33589449,0.12749295,-0.47786847,0.25779265,-0.11562534,-0.34545078,0.09036870,0.24283082,-0.02429770,0.16844601,0.38331280,0.22303473,0.22413527,0.36817114,-0.17309371,-0.28319022,-0.04349811,-0.14896189,0.38377209,-0.03109251,0.22453025,0.42662382,0.02636858,1.04232445,-0.27416368,0.03440206,-0.13125149,-0.34272403,-0.10814652,-0.00654724,0.25660780,-0.12240389,-0.24860416,0.08549169,-0.16497401,0.34059025,-0.39592426,-0.45229907,-0.05466208,0.00024086,0.05642261,0.21060830,-0.57439630,0.02033393
