-0.01661178,-0.14050100,0.07727467,0.51558365,-0.07525715,-0.04859478,0.53960208,0.25786370,-0.15649256,0.18085331,-0.15447309,-0.15524065,0.08157870,-0.64642349,-0.58350863,-0.18700239,-0.33718358,0.10456693
-0.30267469,-0.47076790,0.48854959,-0.07525877,0.02250940,-0.47491606,-0.18146092,0.03697420,-0.38366453,0.12523268,-0.20021290,-0.09723125,-0.20056887,0.61742608,-0.00449908,-0.35257030,0.27418164,-0.40694789
1.16233533,-0.46408610,-0.12525932,0.04821338,0.24056356,-0.00373470,-0.06784245,-0.10422141,-0.49283806,-0.23994801,-0.15354447,0.35237024,0.11119828,-0.52034400,0.17520356,-0.12908940,-0.22636932,0.20498481
0.29304777,0.25815475,-0.41750807,-0.09431336,0.11368565,0.35199342,-0.14544991,-0.05928963,-0.36877937,-0.39873556,0.27084147,0.45208275,-0.02230236,0.32057830,0.10676225,-0.21459337,0.12091174,0.51262824
0.14750426,0.65897702,-0.81590735,0.27180136,0.02851198,-0.11175672,0.02436573,-0.66328926,-0.07322349,0.11903756,0.49263112,-0.17275674,-0.27022127,-0.18666386,0.28569799,0.10944147,-0.17672896,0.17124860
-0.01908401,0.38128567,-0.21316089,-0.11001931,-0.13100724,-0.49242577,0.09770030,0.08675162,0.00170471,-0.07819588,-0.47178984,-0.14021564,-0.11450806,-0.26928386,-0.05561697,0.13464702,0.62869203,0.05814116
0.15013145,-0.19287982,-0.96249214,0.00998379,0.02623399,0.88594116,-0.03393066,0.10572625,-0.01157293,-0.38955958,0.38093927,0.25065055,0.26716334,-0.32824669,0.44275426,-0.46632384,0.19657888,0.73021617
-0.33017878,-0.18876590,0.03321712,-0.16782522,-0.51688782,0.02285433,-0.35410122,0.15786414,-0.30647475,0.51664480,-0.26108444,-0.10735384,0.27117240,-0.41028810,0.07581998,0.43571424,-0.53582776,0.06154462
0.21435982,0.20853339,-0.75132814,-0.41952405,0.18225656,0.16333193,0.11867281,0.12150284,-0.22667760,0.07741795,0.09768901,-0.23810922,0.62552771,0.08045911,-0.47424800,0.21991748,-0.32382762,0.26248926
0.70513341,-0.13509800,0.55251010,0.12536139,0.26987216,0.58686702,-0.10344148,-0.25429283,-0.29650280,-0.27193650,-0.02569949,0.11371491,0.08952711,0.31294631,0.04142763,0.48393973,-0.08879059,0.90704196
