episode,reward,loss,hit_pct,avg_delay_s,epsilon
35,-36173.8762,1823.53068043,59.9000,0.020335,0.900182
36,-36861.1851,1865.32711175,59.2000,0.020977,0.897482
37,-36770.0705,1767.96918694,59.3000,0.020921,0.894789
38,-36449.8357,1724.88706321,59.8000,0.021314,0.892105
39,-36489.5205,1722.93489581,59.7000,0.021101,0.889429
40,-36122.9328,1680.62321751,60.2000,0.021289,0.886760
41,-36915.9822,1679.39244717,59.2000,0.021240,0.884100
42,-35468.9050,1741.82707874,61.0000,0.021207,0.881448
43,-37378.7151,1678.26897753,58.3000,0.019966,0.878804
44,-34376.2133,1675.31529608,62.1000,0.020138,0.876167
45,-34943.2454,1601.61355396,61.6000,0.020965,0.873539
46,-33005.8399,1568.07560349,63.7000,0.019676,0.870918
47,-37247.9683,1546.68707350,58.8000,0.021304,0.868305
48,-34164.7881,1522.20706621,62.4000,0.020289,0.865700
49,-33468.0179,1519.48678004,63.3000,0.020383,0.863103
50,-34258.8884,1471.43874218,62.2000,0.019952,0.860514
51,-35316.1781,1469.15040075,60.9000,0.020037,0.857932
52,-38244.8098,1447.26896488,57.6000,0.021480,0.855359
53,-36950.4557,1426.36283752,59.2000,0.021424,0.852793
54,-34217.2942,1429.47798532,62.1000,0.019344,0.850234
55,-35410.2298,1411.61837794,60.8000,0.020104,0.847683
56,-36504.3530,1398.43623142,59.8000,0.021584,0.845140
57,-36844.5430,1376.01952080,59.2000,0.020885,0.842605
58,-34565.5624,1364.08008260,61.7000,0.019486,0.840077
59,-35356.3920,1385.77657406,61.1000,0.021037,0.837557
60,-34511.1403,1375.72393617,62.2000,0.021211,0.835044
61,-32802.5320,1369.15135842,64.0000,0.019878,0.832539
62,-35153.7494,1317.98262060,61.3000,0.020824,0.830042
63,-32166.9206,1303.12424363,65.1000,0.021087,0.827551
64,-34064.7375,1292.70205549,62.3000,0.019386,0.825069
65,-33077.1610,1301.45817941,63.8000,0.020439,0.822594
66,-34831.2813,1294.30558538,61.6000,0.020421,0.820126
67,-33755.5505,1287.35937898,63.0000,0.020635,0.817665
68,-31971.9968,1282.48861008,64.9000,0.019295,0.815212
69,-36065.4452,1263.33813793,60.2000,0.020982,0.812767
70,-32176.7389,1284.81889971,64.7000,0.019542,0.810328
71,-33081.1963,1262.99467117,63.8000,0.020459,0.807897
72,-33480.4432,1249.46955048,63.2000,0.020039,0.805474
73,-34961.0200,1233.88753074,61.5000,0.020668,0.803057
74,-34724.6449,1252.08031126,61.6000,0.019869,0.800648
75,-32720.8659,1231.60884809,64.0000,0.019455,0.798246
76,-35805.8942,1229.29907855,60.1000,0.019282,0.795851
77,-33528.2582,1237.49471622,63.0000,0.019496,0.793464
78,-32246.1889,1238.67084574,64.6000,0.019479,0.791084
79,-35580.1739,1239.25219787,60.8000,0.020950,0.788710
80,-35786.8951,1204.95140166,60.4000,0.020385,0.786344
81,-35959.5421,1223.46443655,60.1000,0.020049,0.783985
82,-32534.7401,1227.90769099,64.1000,0.018922,0.781633
83,-32308.2792,1215.44195518,64.6000,0.019792,0.779288
84,-35670.1509,1194.31223764,60.4000,0.019795,0.776950
85,-32765.2964,1245.32689739,64.0000,0.019662,0.774620
86,-33217.1682,1214.66983367,63.6000,0.020331,0.772296
87,-34175.0494,1197.77095975,62.4000,0.020330,0.769979
88,-32618.3170,1216.85367170,64.0000,0.018948,0.767669
89,-32805.8082,1219.87406333,63.9000,0.019470,0.765366
90,-33527.7074,1196.99389852,62.8000,0.018694,0.763070
91,-33150.3749,1165.72159848,63.5000,0.019596,0.760781
92,-35876.8228,1212.19735682,60.2000,0.020034,0.758498
93,-32768.7407,1174.14877147,63.9000,0.019286,0.756223
94,-32200.9896,1167.45678050,64.5000,0.018865,0.753954
95,-31182.8311,1188.54617221,65.7000,0.018573,0.751692
96,-33098.8376,1171.56945730,63.6000,0.019752,0.749437
97,-34502.9895,1176.11677897,61.7000,0.019172,0.747189
98,-33292.5618,1176.05527237,63.4000,0.019905,0.744947
99,-32625.3781,1155.81592655,64.0000,0.018988,0.742712
100,-33945.5746,1161.00835685,62.4000,0.019168,0.740484
101,-32591.9229,1167.20335948,64.0000,0.018813,0.738263
102,-32287.0648,1180.37755421,64.4000,0.018880,0.736048
103,-32265.8507,1164.69067972,64.6000,0.019565,0.733840
104,-32762.8359,1142.60663541,63.8000,0.018855,0.731638
105,-29444.8515,1162.50796666,67.9000,0.018654,0.729443
106,-30907.0578,1138.82574183,66.1000,0.018765,0.727255
107,-32909.6922,1169.34749799,63.9000,0.019987,0.725073
108,-32240.3193,1134.19562843,64.5000,0.019049,0.722898
109,-32768.5292,1114.63049644,64.1000,0.020091,0.720729
110,-28135.5702,1165.03487548,69.3000,0.017713,0.718567
111,-34816.0783,1148.02924480,61.1000,0.018326,0.716412
112,-32646.5662,1138.88388958,64.0000,0.019063,0.714262
113,-34744.3939,1121.86290935,61.5000,0.019564,0.712120
114,-31525.3298,1155.42698753,65.2000,0.018280,0.709983
115,-34322.4843,1136.70319858,62.1000,0.019863,0.707853
116,-33711.0268,1121.54965891,62.8000,0.019606,0.705730
117,-30659.6622,1123.11483883,66.5000,0.019153,0.703612
118,-31103.2447,1142.65146417,65.7000,0.018168,0.701502
119,-32613.6603,1149.36951895,64.2000,0.019711,0.699397
120,-32044.5823,1139.34891325,64.7000,0.018856,0.697299
121,-33292.1290,1134.55629011,63.4000,0.019899,0.695207
122,-31437.2366,1149.77575093,65.5000,0.019018,0.693121
123,-30828.7775,1147.11206624,66.1000,0.018380,0.691042
124,-32588.8786,1150.29124285,64.2000,0.019600,0.688969
125,-32306.1765,1155.68356028,64.1000,0.017772,0.686902
126,-33805.1069,1135.40695677,62.5000,0.018872,0.684841
127,-31757.2101,1146.13204212,64.8000,0.017840,0.682787
128,-32749.4017,1134.39622999,63.8000,0.018785,0.680738
129,-31538.1483,1151.65474669,65.3000,0.018737,0.678696
130,-31295.7985,1134.40569800,65.3000,0.017519,0.676660
131,-31864.0173,1120.44192933,64.8000,0.018346,0.674630
132,-29578.0994,1192.75236597,67.5000,0.017725,0.672606
133,-30641.7461,1148.93956669,66.4000,0.018655,0.670588
134,-30513.5912,1163.26830138,66.6000,0.018806,0.668577
135,-31131.7432,1150.20891537,65.9000,0.019103,0.666571
136,-32646.1773,1145.46332331,63.9000,0.018667,0.664571
137,-32981.8348,1189.00496111,63.4000,0.018351,0.662578
138,-34567.7017,1157.59810280,61.7000,0.019491,0.660590
139,-28928.1005,1171.67421013,68.6000,0.018884,0.658608
140,-29861.5295,1164.07678485,67.3000,0.018339,0.656632
141,-33598.0119,1159.79349687,62.8000,0.019029,0.654662
142,-31239.3418,1153.19643894,65.4000,0.017639,0.652698
143,-31490.4449,1122.59107030,65.2000,0.018086,0.650740
144,-33468.9626,1122.73265348,63.3000,0.020377,0.648788
145,-30134.9756,1128.18139490,66.8000,0.017717,0.646842
146,-30135.6869,1107.69355042,66.9000,0.018118,0.644901
147,-31410.6189,1111.60726481,65.7000,0.019683,0.642966
148,-31567.2079,1110.35641792,65.1000,0.018073,0.641037
149,-31706.7742,1109.96854140,65.0000,0.018368,0.639114
150,-31959.5149,1116.11981121,64.9000,0.019236,0.637197
151,-29651.6657,1090.87507730,67.3000,0.017297,0.635285
152,-29598.5325,1125.20743745,67.6000,0.018229,0.633380
153,-30982.8066,1129.54748627,65.8000,0.017955,0.631479
154,-33199.1814,1135.58722037,63.1000,0.018244,0.629585
155,-29863.5361,1119.64362385,67.1000,0.017562,0.627696
156,-31490.3962,1136.55621232,65.2000,0.018091,0.625813
157,-31085.7699,1127.70355659,65.7000,0.018084,0.623936
158,-29335.7985,1125.32336198,67.8000,0.017719,0.622064
159,-31361.1035,1113.24284355,65.5000,0.018648,0.620198
160,-30708.5738,1123.34263025,66.1000,0.017763,0.618337
161,-31194.9258,1135.43476481,65.5000,0.017796,0.616482
162,-31809.0156,1109.95464416,64.8000,0.018094,0.614633
163,-29886.5864,1111.93067444,67.2000,0.018061,0.612789
164,-30916.5232,1096.11787177,65.9000,0.018022,0.610950
165,-31155.4028,1079.65519882,65.4000,0.017225,0.609118
166,-30020.1921,1102.24849701,67.0000,0.017943,0.607290
167,-28710.1188,1103.62683913,68.7000,0.018192,0.605468
168,-28261.5471,1080.66883995,69.1000,0.017549,0.603652
169,-30918.3904,1073.01265912,66.1000,0.018826,0.601841
170,-30481.2915,1068.42563223,66.5000,0.018229,0.600035
171,-29736.6689,1088.64806214,67.3000,0.017702,0.598235
172,-31624.3812,1126.92810761,65.2000,0.018755,0.596441
173,-29819.8626,1106.00153999,67.1000,0.017341,0.594651
174,-28462.5368,1102.14062988,68.7000,0.016952,0.592867
175,-28117.5457,1076.29077041,69.3000,0.017623,0.591089
176,-30697.8268,1076.32808196,66.1000,0.017740,0.589315
177,-28640.2567,1089.35943665,68.5000,0.017028,0.587548
178,-31956.8795,1098.64467336,64.7000,0.018418,0.585785
179,-30891.6204,1076.67599913,65.8000,0.017482,0.584028
180,-30890.4724,1071.53827372,65.9000,0.017891,0.582275
181,-31925.7557,1091.64686740,64.7000,0.018268,0.580529
182,-29138.8463,1102.15201500,68.0000,0.017533,0.578787
183,-31334.5595,1086.58459375,65.4000,0.018110,0.577051
184,-28907.1738,1096.93195538,68.3000,0.017574,0.575320
185,-29929.7389,1099.14571621,67.0000,0.017484,0.573594
186,-30508.6413,1096.06994907,66.2000,0.017187,0.571873
187,-30234.6787,1059.98771283,66.8000,0.018211,0.570157
188,-30506.9346,1086.47925479,66.2000,0.017166,0.568447
189,-30573.5307,1071.81303093,66.1000,0.017099,0.566741
190,-31170.2077,1082.40982109,65.6000,0.018083,0.565041
191,-30215.2435,1072.64717720,66.7000,0.017706,0.563346
192,-31615.2991,1070.92166898,65.2000,0.018727,0.561656
193,-29456.2108,1091.09858744,67.4000,0.016737,0.559971
194,-28540.4571,1092.17742509,68.6000,0.016953,0.558291
195,-29653.3102,1056.04336569,67.3000,0.017302,0.556616
196,-28452.1379,1061.33856183,68.9000,0.017688,0.554946
197,-31442.2402,1065.49226616,65.2000,0.017841,0.553282
198,-31204.5352,1071.16874701,65.6000,0.018264,0.551622
199,-30055.3880,1081.04927657,67.0000,0.018111,0.549967
200,-27690.5908,1077.56747463,69.6000,0.016688,0.548317
201,-29951.5236,1086.00617029,67.1000,0.017975,0.546672
202,-31163.4058,1127.03960489,65.5000,0.017643,0.545032
203,-28657.1736,1092.38718102,68.5000,0.017123,0.543397
204,-28160.6355,1071.39238826,69.2000,0.017450,0.541767
205,-31863.1297,1106.59423941,64.7000,0.017964,0.540141
206,-29459.7527,1078.77114790,67.5000,0.017134,0.538521
207,-29856.3239,1100.20055545,67.0000,0.017119,0.536905
208,-28178.9886,1086.05511385,68.9000,0.016325,0.535295
209,-30083.4555,1072.31996482,66.9000,0.017850,0.533689
210,-30074.9057,1089.89959342,66.9000,0.017816,0.532088
211,-26741.9593,1072.94361225,70.7000,0.016360,0.530491
212,-28611.0920,1099.30353569,68.7000,0.017691,0.528900
213,-28731.0306,1077.08096290,68.4000,0.017107,0.527313
214,-30132.4773,1107.06954666,66.6000,0.016908,0.525731
215,-29391.3573,1085.95253859,67.5000,0.016807,0.524154
216,-28885.7562,1091.50633117,68.1000,0.016661,0.522582
217,-27336.6388,1084.67705987,70.0000,0.016521,0.521014
218,-27307.8556,1092.34435179,70.0000,0.016394,0.519451
219,-28507.2000,1099.43144174,68.6000,0.016773,0.517893
220,-27846.9501,1077.32062530,69.6000,0.017459,0.516339
221,-30471.6701,1098.71946112,66.1000,0.016606,0.514790
222,-31253.9534,1119.14693916,65.5000,0.018113,0.513245
223,-28521.9704,1112.39782494,68.6000,0.016864,0.511706
224,-28596.1210,1099.99785689,68.5000,0.016835,0.510171
225,-29912.2069,1130.29697122,66.9000,0.017006,0.508640
226,-29857.0672,1109.11050211,67.1000,0.017528,0.507114
227,-27853.5048,1098.36965740,69.3000,0.016310,0.505593
228,-27374.2232,1105.91123458,69.9000,0.016315,0.504076
229,-27521.9631,1088.18458570,69.8000,0.016638,0.502564
230,-27113.1928,1131.76087977,70.2000,0.016182,0.501056
231,-28639.0803,1088.05243039,68.4000,0.016636,0.499553
232,-28667.2665,1171.26642370,68.4000,0.016788,0.498054
233,-25806.2858,1135.81269718,71.7000,0.015678,0.496560
234,-28813.6074,1167.68192261,68.3000,0.017117,0.495070
235,-31308.9049,1139.21279050,65.4000,0.018001,0.493585
236,-27869.9942,1123.56080419,69.3000,0.016391,0.492105
237,-28554.0276,1144.87113774,68.5000,0.016611,0.490628
238,-28912.4863,1103.27276748,68.3000,0.017603,0.489156
239,-28247.2931,1157.13699885,68.9000,0.016682,0.487689
240,-28374.6138,1129.27377124,68.6000,0.016110,0.486226
241,-28572.2704,1106.85716006,68.5000,0.016700,0.484767
242,-26159.4038,1136.42593407,71.1000,0.015033,0.483313
243,-28682.2716,1120.84322539,68.4000,0.016852,0.481863
244,-29602.9203,1114.07960637,67.3000,0.017057,0.480417
245,-26480.0499,1123.23782293,71.1000,0.016638,0.478976
246,-28870.6565,1091.86324214,68.3000,0.017386,0.477539
247,-29689.8141,1103.42927297,67.3000,0.017507,0.476106
248,-28170.0951,1086.95566056,69.1000,0.017076,0.474678
249,-28088.2386,1111.43748117,69.1000,0.016668,0.473254
250,-26107.9663,1113.20257835,71.4000,0.015960,0.471834
251,-27172.5480,1068.13435477,70.1000,0.016116,0.470419
252,-28251.5253,1132.58438780,68.9000,0.016694,0.469008
253,-26754.8582,1125.04614500,70.6000,0.016029,0.467601
254,-29127.4690,1147.21245124,67.9000,0.017084,0.466198
255,-28349.4849,1091.22934767,68.9000,0.017182,0.464799
256,-28797.3655,1107.20530503,68.2000,0.016639,0.463405
257,-28251.3363,1106.72762672,68.8000,0.016295,0.462015
258,-28727.0378,1119.93855688,68.5000,0.017479,0.460629
259,-26346.5910,1087.51963487,71.1000,0.015978,0.459247
260,-28963.2982,1099.49874708,68.1000,0.017050,0.457869
261,-29123.0490,1112.06402403,68.0000,0.017476,0.456495
262,-28550.6238,1115.82387621,68.5000,0.016599,0.455126
263,-26830.8057,1129.72552951,70.7000,0.016805,0.453760
264,-27133.5499,1098.94889778,70.2000,0.016310,0.452399
265,-26326.5384,1096.11214736,71.1000,0.015886,0.451042
266,-25105.1753,1077.68146875,72.6000,0.015761,0.449689
267,-28384.8748,1134.25922497,68.6000,0.016161,0.448340
268,-26430.6432,1118.47144046,70.8000,0.015213,0.446995
269,-25662.8069,1104.44472943,71.9000,0.015740,0.445654
270,-27609.8394,1088.68242500,69.8000,0.017084,0.444317
271,-27976.8053,1125.13360889,69.2000,0.016533,0.442984
272,-26653.1796,1124.51544462,70.8000,0.016314,0.441655
273,-27302.9864,1137.51505548,70.0000,0.016366,0.440330
274,-28624.0836,1127.83803421,68.4000,0.016564,0.439009
275,-27330.3333,1131.61730077,69.9000,0.016102,0.437692
276,-29156.2415,1086.82625158,67.7000,0.016421,0.436379
277,-26948.7336,1107.77630879,70.6000,0.016981,0.435070
278,-24651.6433,1111.58019996,73.1000,0.015495,0.433765
279,-26688.2430,1131.17998439,70.6000,0.015697,0.432463
280,-27644.4501,1101.45162810,69.5000,0.016063,0.431166
281,-27416.0614,1109.88685344,69.9000,0.016518,0.429872
282,-30218.1123,1133.93621682,66.5000,0.016933,0.428583
283,-27500.1589,1126.96910441,69.7000,0.016151,0.427297
284,-28445.5500,1146.10109689,68.5000,0.016063,0.426015
285,-26606.0740,1136.06157920,70.8000,0.016063,0.424737
286,-28232.5465,1107.64740460,68.9000,0.016613,0.423463
287,-27989.4568,1140.85630959,69.0000,0.015780,0.422192
288,-26344.2070,1133.11809895,71.1000,0.015963,0.420926
289,-28251.5515,1125.28303756,68.9000,0.016677,0.419663
290,-29291.1015,1118.72024350,67.5000,0.016288,0.418404
291,-27359.1355,1127.47133332,70.0000,0.016625,0.417149
292,-25828.5026,1118.73043521,71.8000,0.016185,0.415897
293,-26810.0423,1120.26434438,70.6000,0.016299,0.414650
294,-28308.7541,1106.26436472,68.7000,0.016186,0.413406
295,-27962.8716,1148.00724742,69.2000,0.016472,0.412166
296,-27980.4760,1108.12566681,69.2000,0.016540,0.410929
297,-28810.8444,1140.38561493,67.9000,0.015492,0.409696
298,-25813.6051,1132.29073063,71.7000,0.015712,0.408467
299,-28642.8039,1129.70661485,68.2000,0.015859,0.407242
300,-25956.1283,1160.94290972,71.5000,0.015631,0.406020
301,-26177.0573,1102.45649665,71.3000,0.015915,0.404802
302,-26022.3761,1176.11054569,71.3000,0.015149,0.403588
303,-26267.5852,1137.88911089,71.2000,0.015982,0.402377
304,-27359.2133,1137.81845259,69.9000,0.016232,0.401170
305,-27394.9453,1101.75401611,69.8000,0.016025,0.399966
306,-26967.7753,1096.38061910,70.5000,0.016688,0.398766
307,-27834.0934,1155.13332135,69.4000,0.016617,0.397570
308,-26566.6991,1130.63219346,70.9000,0.016272,0.396377
309,-25356.8769,1102.48758091,72.2000,0.015419,0.395188
310,-26379.9750,1113.67602038,71.1000,0.016139,0.394003
311,-25745.4371,1096.12660065,71.9000,0.016167,0.392821
312,-26544.1844,1116.48070272,70.7000,0.015371,0.391642
313,-26522.8243,1131.03710544,70.7000,0.015280,0.390467
314,-27676.7987,1086.43513440,69.4000,0.015829,0.389296
315,-28441.4195,1106.80392436,68.4000,0.015651,0.388128
316,-28324.4096,1153.54749952,68.8000,0.016675,0.386964
317,-27383.6888,1145.64775970,69.8000,0.015960,0.385803
318,-26544.1012,1121.97336866,70.8000,0.015748,0.384645
319,-26871.3884,1185.41893124,70.5000,0.016193,0.383491
320,-27718.9493,1163.43054461,69.5000,0.016433,0.382341
321,-25284.0373,1115.70833832,72.1000,0.014647,0.381194
322,-28231.5878,1138.24216202,68.7000,0.015816,0.380050
323,-25506.9260,1139.83849688,72.2000,0.016177,0.378910
324,-28124.1624,1128.94965214,68.9000,0.016069,0.377773
325,-28865.8059,1129.14486727,68.0000,0.016179,0.376640
326,-27151.4107,1116.14739322,70.1000,0.015995,0.375510
327,-26105.7080,1154.64426360,71.3000,0.015576,0.374384
328,-27306.3050,1121.90154519,70.0000,0.016365,0.373260
329,-27115.7644,1119.77261938,70.3000,0.016629,0.372141
330,-25725.5263,1116.69975356,71.7000,0.015253,0.371024
331,-26059.2511,1131.79497225,71.3000,0.015332,0.369911
332,-26538.2722,1197.74334573,70.7000,0.015341,0.368801
333,-26548.9135,1148.04730653,70.8000,0.015780,0.367695
334,-24972.1524,1205.03280976,72.7000,0.015498,0.366592
335,-25917.8597,1164.11159274,71.7000,0.016252,0.365492
336,-24932.6457,1153.18118355,72.6000,0.014914,0.364396
337,-26797.0520,1157.74935770,70.5000,0.015829,0.363302
338,-26514.8426,1201.42066380,70.7000,0.015214,0.362213
339,-25358.4774,1198.98459086,72.3000,0.015828,0.361126
340,-25302.4005,1136.72823778,72.2000,0.015173,0.360043
341,-26520.9900,1144.56754891,70.6000,0.014852,0.358962
342,-26778.2777,1164.81369060,70.5000,0.015733,0.357886
343,-25802.7795,1147.90644359,71.6000,0.015253,0.356812
344,-24783.6628,1179.56090685,72.9000,0.015342,0.355741
345,-24826.7343,1185.36998310,72.9000,0.015582,0.354674
346,-25745.4720,1159.91291308,71.9000,0.016166,0.353610
347,-26962.1838,1133.95090231,70.3000,0.015853,0.352549
348,-25841.2805,1139.08327995,71.6000,0.015436,0.351492
349,-23654.2705,1198.92507047,74.1000,0.014493,0.350437
350,-26342.1165,1110.84049181,71.0000,0.015550,0.349386
351,-23745.6294,1132.29618897,74.2000,0.015377,0.348338
352,-26731.6376,1216.52182923,70.6000,0.015919,0.347293
353,-25398.1964,1148.85921249,72.3000,0.016044,0.346251
354,-24819.6590,1188.40493058,72.7000,0.014735,0.345212
355,-26676.3598,1139.01830494,70.5000,0.015230,0.344176
356,-26351.2515,1217.80640355,71.0000,0.015603,0.343144
357,-26139.9025,1171.32634474,71.3000,0.015741,0.342115
358,-27593.7571,1172.81135550,69.3000,0.015000,0.341088
359,-26478.0710,1119.56916383,70.7000,0.015038,0.340065
360,-25956.8495,1191.82136250,71.5000,0.015619,0.339045
361,-25235.2490,1208.19411919,72.5000,0.016019,0.338028
362,-26450.5191,1194.39307787,70.9000,0.015705,0.337014
363,-25077.7676,1141.24416602,72.3000,0.014439,0.336002
364,-26160.8810,1155.99215657,71.0000,0.014647,0.334994
365,-26980.2628,1155.51696291,70.3000,0.015953,0.333989
366,-25210.6752,1227.36557267,72.2000,0.014706,0.332988
367,-26580.3099,1155.09066427,70.6000,0.015159,0.331989
368,-25467.2144,1155.19614870,71.9000,0.014782,0.330993
369,-26141.9789,1153.88552450,71.3000,0.015775,0.330000
370,-24966.6343,1147.19096304,72.6000,0.015064,0.329010
371,-25987.1790,1144.91844503,71.4000,0.015353,0.328023
372,-24882.4505,1196.19219521,72.8000,0.015474,0.327039
373,-25189.5610,1217.32595979,72.3000,0.014999,0.326057
374,-23533.8801,1208.87262802,74.4000,0.015104,0.325079
375,-26920.8400,1220.88703760,70.3000,0.015656,0.324104
376,-25910.6326,1197.05452701,71.6000,0.015789,0.323132
377,-25118.5771,1232.87035435,72.4000,0.015008,0.322162
378,-24537.9317,1162.56517811,73.2000,0.015346,0.321196
379,-26003.3601,1175.08595426,71.3000,0.015046,0.320232
380,-23900.2900,1120.41128855,73.9000,0.014937,0.319272
381,-25622.4420,1162.10653052,71.8000,0.015155,0.318314
382,-23475.7469,1229.94903758,74.5000,0.015230,0.317359
383,-25336.0281,1127.92096187,72.4000,0.016129,0.316407
384,-24359.8335,1128.13972204,73.4000,0.015239,0.315457
385,-25321.0771,1183.53568568,72.2000,0.015243,0.314511
386,-26669.9182,1138.26655432,70.6000,0.015597,0.313568
387,-24357.7534,1165.39781111,73.3000,0.014842,0.312627
388,-26272.7295,1191.31962020,71.0000,0.015206,0.311689
389,-24766.9142,1130.03693211,72.9000,0.015265,0.310754
390,-27809.2120,1141.56457581,69.1000,0.015291,0.309822
391,-25316.6836,1133.77916607,72.1000,0.014841,0.308892
392,-25238.6829,1200.37598048,72.2000,0.014862,0.307965
393,-27641.2896,1176.19333091,69.4000,0.015682,0.307042
394,-23311.7297,1165.83029933,74.7000,0.015222,0.306120
395,-23786.4089,1224.41564521,74.2000,0.015582,0.305202
396,-25517.2720,1226.09321682,72.0000,0.015434,0.304287
397,-25320.6944,1222.05597176,72.1000,0.014843,0.303374
398,-24798.5129,1214.53013710,72.8000,0.015017,0.302464
399,-25982.9599,1201.31562229,71.4000,0.015356,0.301556
400,-23182.8345,1223.40294058,74.7000,0.014547,0.300651
401,-25688.9985,1192.01282827,71.7000,0.015087,0.299750
402,-25691.5397,1150.57176443,71.7000,0.015116,0.298850
403,-27358.8111,1183.96521395,69.7000,0.015453,0.297954
404,-25280.4494,1184.56386143,72.2000,0.015061,0.297060
405,-23502.3909,1240.24053988,74.4000,0.014954,0.296169
406,-24043.1754,1205.58247682,73.6000,0.014457,0.295280
407,-25470.9992,1184.83132956,71.9000,0.014813,0.294394
408,-26172.4850,1219.67823652,71.2000,0.015522,0.293511
409,-24570.7816,1186.22253287,73.2000,0.015485,0.292631
410,-26428.1763,1119.98866914,70.8000,0.015213,0.291753
411,-23697.5378,1107.67037573,74.2000,0.015123,0.290877
412,-24361.1876,1211.37937982,73.3000,0.014853,0.290005
413,-24243.2897,1151.66930334,73.4000,0.014684,0.289135
414,-23021.5768,1193.52669654,75.0000,0.014969,0.288267
415,-24454.0042,1224.63570156,73.2000,0.014920,0.287403
416,-23570.4832,1126.03310443,74.3000,0.014919,0.286540
417,-24442.7120,1135.26924764,73.1000,0.014466,0.285681
418,-25397.0377,1163.47331767,72.0000,0.014838,0.284824
419,-23494.8530,1134.00770458,74.4000,0.014922,0.283969
420,-22839.8059,1285.52467542,75.2000,0.014846,0.283117
421,-24185.2837,1191.24567232,73.4000,0.014349,0.282268
422,-22515.6426,1268.73339332,75.5000,0.014407,0.281421
423,-27789.9286,1177.36031795,68.9000,0.014408,0.280577
424,-24985.4489,1238.23812275,72.4000,0.014384,0.279735
425,-23434.4395,1241.62980076,74.5000,0.015011,0.278896
426,-21417.2537,1243.03688043,76.9000,0.014523,0.278059
427,-24025.4365,1185.46030384,73.7000,0.014769,0.277225
428,-23106.4138,1163.82534479,74.8000,0.014565,0.276393
429,-23780.9482,1247.29115686,74.0000,0.014755,0.275564
430,-25193.2121,1220.58804085,72.2000,0.014606,0.274738
431,-23817.0609,1268.68193327,73.9000,0.014509,0.273913
432,-25039.2029,1200.73378035,72.4000,0.014626,0.273092
433,-25255.8436,1208.03428701,72.1000,0.014538,0.272272
434,-23590.7862,1272.17018682,74.1000,0.014205,0.271456
435,-24091.7805,1232.91073507,73.5000,0.014290,0.270641
436,-24947.8880,1212.15717576,72.6000,0.014981,0.269829
437,-25553.6538,1187.33545637,71.8000,0.014803,0.269020
438,-24465.1495,1194.67163632,73.0000,0.014169,0.268213
439,-24410.8193,1174.60844450,73.4000,0.015488,0.267408
440,-23366.0730,1228.47539450,74.4000,0.014276,0.266606
441,-24257.1511,1239.82790463,73.3000,0.014330,0.265806
442,-23709.2956,1266.53134429,74.1000,0.014799,0.265009
443,-21850.1502,1267.27443645,76.4000,0.014703,0.264214
444,-21985.8300,1231.46814661,76.1000,0.014176,0.263421
445,-23676.2377,1254.48124305,74.2000,0.015031,0.262631
446,-24123.4591,1195.03700244,73.6000,0.014865,0.261843
447,-22744.6986,1204.44333194,75.3000,0.014749,0.261057
448,-23212.4551,1284.20093584,74.5000,0.013889,0.260274
449,-24573.8815,1190.37478722,73.2000,0.015515,0.259493
