mean,std
29.84582901,21.38209915
0.44854617,0.41594368
0.02050019,0.00950064
0.00549636,0.00259484
0.00550049,0.00259472
0.00549650,0.00259553
0.00549752,0.00259436
0.00549724,0.00259553
0.00000034,0.00001697
0.00000035,0.00001955
0.00000380,0.00008509
0.00000385,0.00008386
0.00072583,0.00515402
0.36357424,0.48775607
0.36392847,0.48777044
0.00220861,0.00115317
0.00220861,0.00115317
0.02984493,0.02138191
